cluster,size,sources,share_post_llm,median_sigs,example_title
changeorg_treated:chg37571379,5,2,1.0,1.0,STOP ANIMAL ABUSE
changeorg_other:chg490265876,5,1,1.0,1.0,Substance abuse
changeorg_other:chg36260454,5,1,1.0,1.0,"Social Media has helped families, social workers, and the government"
changeorg_other:chg37758520,5,1,0.8,1.0,Stop Animal Abuse
changeorg_other:chg36388508,5,1,1.0,1.0,Respect Human rights
changeorg_other:chg35048816,5,2,0.2,1.0,"Buy organic, free-range eggs for your restaurants.”"
changeorg_other:chg490246891,5,1,1.0,1.0,Petition Title: End Fossil Fuel Subsidies and Invest in Renewable Energy Petition Body:
changeorg_other:chg37697525,5,1,1.0,1.0,Stop animal abuse
changeorg_other:chg35032453,5,1,0.4,1.0,Save Mother Earth Save Nature
changeorg_other:chg35101279,5,1,0.4,1.0,Animal Rights
changeorg_other:chg37780737,5,1,1.0,1.0,STOP POVERTY IN ALL FORM
changeorg_other:chg37834130,5,1,1.0,1.0,"I change the people want to cutting trees, because plants well give oxygen to alive."
changeorg_other:chg37815381,5,1,0.4,1.0,Stop abuse
changeorg_other:chg35280639,5,1,0.2,1.0,Save Sammed Shikharji सम्मेद शिखरजी बचाओ #बचाओ_पवित्र_तीर्थ_शिखरजी #saveshikharji
changeorg_treated:chg33258986,5,2,0.4,3.0,sue spnich
changeorg_other:chg36181502,5,1,0.2,1.0,Protecting Our Planet Starts with You.
changeorg_other:chg35095684,5,1,0.8,1.0,Stop the legal killing of wildlife​.​STOP TROPHY HUNTING
changeorg_other:chg36319074,5,1,1.0,1.0,Illegal logging
changeorg_other:chg32015078,5,1,0.0,1.0,COVID-19
changeorg_other:chg36040449,5,1,1.0,1.0,STOP ANIMAL CRUELTY
changeorg_other:chg35018460,5,1,0.8,1.0,Environmental Problem PH.
changeorg_other:chg32206790,5,2,0.0,1.0,Stop TSHISEKEDI
changeorg_other:chg37923700,5,1,1.0,1.0,Education For All
changeorg_other:chg36403967,5,2,0.8,1.0,Everyone should be treated equally
changeorg_other:chg35019862,5,1,0.4,1.0,Lack of internet connection students in sepnas
changeorg_other:chg36363038,5,1,0.8,1.0,Dealing with animal cruelty
changeorg_other:chg36429579,5,1,1.0,1.0,NO to Phillips 66 Rail Spur Project in San Luis Obispo County
changeorg_other:chg36429570,5,1,1.0,1.0,Child abuse
changeorg_other:chg35078715,5,1,0.0,1.0,BACLAYON NHS CAMPAIGN FOR ANTI-BULLYING
changeorg_other:chg37927914,5,1,0.8,1.0,Stop wasting foods
changeorg_other:chg37739180,5,1,1.0,1.0,Sign the petition: Stop discrimination against the LGBTQ+ community and defend LGBTQ+ work
changeorg_other:chg35032155,5,1,0.4,1.0,Plant a tree
changeorg_other:chg37329670,5,1,1.0,0.0,ONLINE MARKETING
changeorg_other:chg37810638,5,1,1.0,1.0,Importance of education
uk_2019:614335,5,3,0.0,656.0,Do not sign any WHO Pandemic Treaty unless it is approved via public referendum.
changeorg_treated:chg35806147,5,2,1.0,2.0,Stop the TikTok Ban
changeorg_treated:chg37846990,5,2,1.0,2.0,Protect Our Coast! Save the whales stop offshore wind
changeorg_other:chg36428278,5,2,1.0,1.0,Hold the Met Police criminally accountable for the barbaric killing of two leashed dogs
changeorg_other:chg35466381,5,1,0.6,1.0,Stop! Bullying
changeorg_treated:chg35814680,5,1,1.0,1.0,Mentally Ill parents
changeorg_treated:chg35482110,5,1,1.0,2.0,"Removal of Jena Martin, Treasurer, The Bluffs at Aberdeen"
changeorg_treated:chg37916246,5,1,1.0,1.0,"Pathway from Colombians,Haitians,and Venezoleans"
changeorg_other:chg37688355,5,1,1.0,1.0,The increasing use and abuse of illegal drugs have become a growing problem in our communi
changeorg_treated:chg32975323,5,2,0.0,1.0,To open Letter to Supreme Court on the Current Situation in Pakistan
changeorg_treated:chg490186481,5,1,1.0,19.0,NFL YOU NEED TO FINE THESE REFS and suspend or fine the NFL owners for paying the refs..
changeorg_other:chg35474240,5,1,0.8,1.0,Women's right
changeorg_treated:chg37661234,5,3,1.0,1.0,Change the school week to a four day week
changeorg_treated:chg33823158,5,1,0.0,3.0,Ban of Retail Sales of Rabbits in Duval County
changeorg_treated:chg490057018,5,1,1.0,99.0,Phone Free School Days: Cincinnati Public Schools District
uk_2010:24851,5,1,0.0,1.0,"There should a new category of low security part-time prisoners, proposed as cat. E. New c"
changeorg_au:chg490186101,5,1,1.0,358.0,Petition to the Australian Government to boycott Danish and Japanese products.
uk_2017:200290,5,1,0.0,6.0,Pay Carers an allowance equivalent to a fulltime job at the National Living wage
uk_2019:304172,5,1,0.0,20.0,Close Schools/Colleges down for an appropriate amount of time amidst COVID19.
uk_2019:596081,5,1,0.0,6.0,allow regions of Scotland who voted remain in the UK to be allowed to do so
